Address,manually labeled proxy(yes/no),detection(yes/no)
0x9da47a2b34f9707bc931fa31f0003a149f4aa92e,yes,yes
0x14a4123da9ad21b2215dc0ab6984ec1e89842c6d,yes,yes
0x85ac27e4124863492db18eafbb358102cad8fc96,yes,yes
0x45d0bdfdfbfd62e14b64b0ea67dc6eac75f95d4d,yes,yes
0xf83c9b3c590eab6b5acf0324b68e627a8b18d46b,yes,yes
0x0000000000085d4780b73119b644ae5ecd22b376,yes,yes
0x02a492c34319b52abb009a4c45ccee159dbde6cb,yes,yes
0x2b67d1a87a8d8b280a23e97bc55095215ee0ec53,yes,yes
0x4b4a7aa3d100676deed616e51a562e77e56b224a,yes,yes
0x6de037ef9ad2725eb40118bb1702ebb27e4aeb24,yes,yes
0x8bae55c9805c4c9b9e3367bdd6ceb4b09114b645,yes,yes
0x17b09b22823f00bb9b8ee2d4632e332cadc29458,yes,no
0x395f47e890cd81307c5fa8814771b93100283daa,yes,yes
0x578fa4ab3b27a94fe97bd52167f1b02da20d31e8,yes,yes
0x1410d4ec3d276c0ebbf16ccbe88a4383ae734ed0,yes,yes
0x8644b70d1e40e954d8397e79a210624cbc22e1fe,yes,yes
0x8853b05833029e3cf8d3cbb592f9784fa43d2a79,yes,yes
0x306496f5af58b04fc93985059c894ec549e2f6b8,yes,yes
0x21683397aa53aaf7baca416c27f2c1e0e84bb493,yes,yes
0x92489789778d69eff4a53b6d649f0a51e02e6291,yes,yes
0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,yes,yes
0xa3db33ccfe990fdf89ff311754391b5c3af4ef04,yes,yes
0xa4a689c90d5042202570cf85e730a5cb9ead77a2,yes,yes
0xabe63a04acb55f8c2ea3509ce10775623bd98f3b,yes,yes
0xbe729d06dd2d7b2e953b40e234c62bd5f0204a12,yes,yes
0xc229c69eb3bb51828d0caa3509a05a51083898dd,yes,yes
0xdc524e3c6910257744c1f93cf15e9f472b5bd236,yes,yes
0xfb918ca8543aefcb1754a656d3985b4fc4036860,yes,yes
0x25200235ca7113c2541e70de737c41f5e9acd1f6,yes,yes
0x7de7f004f60b613840a34121e4300f4ab3b5f8f2,yes,yes
0x0557e0d15aec0b9026dd17aa874fdf7d182a2ceb,yes,yes
0x0ee460204887d98c297bb431e40b713f63ba78e0,yes,yes
0x1c17f00f787b11689c35a74cc043614ca218ff9b,yes,yes
0x1c63d19a2d626e91dc67d93037e5716182bed6cd,yes,yes
0x2ab85aa4ac637a770b2fc8daceeb3a6338125f10,yes,yes
0x2e0bee0014c119bc83166fc2c728c3450da7acd5,yes,yes
0x2f84d6394ee8d46df279d1798345884a3a04bd09,yes,yes
0x2ff3757922298a53767a5c9014a876a0847052cf,yes,yes
0x04ad0165cf92f7a0f99676e9a566e7c70e3f9b85,yes,yes
0x4b0f027d0b694aae2761ed2d426295d4f949f5d0,yes,yes
0x4deca517d6817b6510798b7328f2314d3003abac,yes,yes
0x4d7968ebfd390d5e7926cb3587c39eff2f9fb225,yes,yes
