proxy,tx,alt_impl,impl,,buggy?
0x15874d65e649880c2614e7a480cb7c9a55787ff6,0x134999b7f7a216fa0d23e7189583490e6d656c4277e323ef3d8ed934785e96bd,0xe55320f8bf3ad5b1d3573068deb8cacaa8e19ff5,0x284c2bed39bfd462ce65edd2d86725849a953bb4,,TN
0xae7ab96520de3a18e5e111b5eaab095312d7fe84,0x6da85dbe130e0b68c595ef2d6fa2115dc65d3413681d0004f605f7467d32f414,0x17144556fd3424edc8fc8a4c940b2d04936d17eb,0xc7b5af82b05eb3b64f12241b04b2cf14469e39f7,,TN
0x0000000000085d4780b73119b644ae5ecd22b376,0x61347b91aef44f1d8f9388f0ef54352e5dcf0fef37024fe4faca9513c293c324,0xb650eb28d35691dd1bd481325d40e65273844f9b,0xcb9a11afdc6bdb92e4a6235959455f28758b34ba,,TN
0xcda72070e455bb31c7690a170224ce43623d0b6f,0x10837442feac53be37e4351a8473448532776861d1c19fb777dd90ab536813cb,0x5eeda8c2a8b22177abd18ebf9382f8eb0ce232d3,0x005d77e5eeab2f17e62a11f1b213736ca3c05cf6,,TN
0x71f85b2e46976bd21302b64329868fd15eb0d127,0x46ed47e66d786f3dafda3c1765fbaf54efbdc3471a0758f0e89951c8b98bb432,0x99ff9dec7d491011b03de118a70bf920972f0154,0xc9b395e7a910fecb0949514274de1fb9d3f37ee3,,TN
0x3d5bc3c8d13dcb8bf317092d84783c2697ae9258,0x11fd23a26a0c1a283bbccc38826195835ed251615507ec368775d51cd19d86fb,0x9ac75fc3cb8a631f4ecf4c16a89ee95d847b64a7,0x44a420700aac02c1f10b16152f93acb3aadff193,,TN
0xcda72070e455bb31c7690a170224ce43623d0b6f,0x3518aa9c271f1d69dbbfe1b8791d51740867424bdf88602706d11a624500af31,0x77adaa0c9877f36c778b9291b966b761941ae3b7,0x1578da82a22f758fe4094dd7513e783c62a50c62,,TN
0xabea9132b05a70803a4e85094fd0e1800777fbef,0x3c79ede41c7c418dbd1781636bfe3fd9c7ab11415238195bb9de1cc6b702b68e,0x204c6badad00ef326de0921a940d8267060d1033,0xd61dff4b146e8e6bdcdad5c48e72d0ba85d94dbc,,TN
0xcc4304a31d09258b0029ea7fe63d032f52e44efe,0x39c17e9fe2dced406e1b1a89df43adaba4b25392c336bc6d26e6df73222b02bf,0x907c6d5bf04dc6f2cc34ceb649adb18bf356eebe,0xfeeedb5a23e650a6f9a88d1a5941f05453df6703,,TN
0x0000000000085d4780b73119b644ae5ecd22b376,0x648b6eaa91536588f5689e9791df52cd97cdbcac5d0d4716f03a1935f6cd95a3,0xb650eb28d35691dd1bd481325d40e65273844f9b,0xcb9a11afdc6bdb92e4a6235959455f28758b34ba,,TN
0xabea9132b05a70803a4e85094fd0e1800777fbef,0xef450df8a4ce6f1a22ce65ba6823749b2479a53c4f3490877e7b5c04b875add6,0x8e972b354e6933275513c355ee14d44a832ad2d9,0xd61dff4b146e8e6bdcdad5c48e72d0ba85d94dbc,,TN
0xd291e7a03283640fdc51b121ac401383a46cc623,0x0009115c3283359ef841bddbc150b9a1adf6ec60723ae6f7645045fa123645d5,0xb528e8bb2dcb99cfdea4c28bf44925ef58ab1520,0xf727c8cc07c7b78079409002d851dc542dc8e2c1,,TN
0x3d9819210a31b4961b30ef54be2aed79b9c9cd3b,0x9f8c6d1179c70eb5362f2613ae9182cb7ba8b76e857148ff389e3fe377087725,0x234b619b4f4e405665f7d94f2ce60c24256032b5,0xbe7616b06f71e363a310aa8ce8ad99654401ead7,,TN
0x8a3960472b3d63894b68df3f10f58f11828d6fd9,0xbbf240d77795f45696038b2cb38fd8d6ca30c3b4168356cb571321299cac2f4c,0xda2ffd5eb04283a5d0eb904bb96d01cb5baf1f81,0x658f900d487427b14388f227c0045d28cc04eda0,,TN
0xeeee2a622330e6d2036691e983dee87330588603,0x7c7d03bb74954e3d743c1509b03a2f67c7a12043013c9c6c776b7626deceec4c,0x7931cc3f9f455c2dfe08128ac246345048c84137,0x11c38e7b0224a17311c26fcad590052592d689d1,,TN
0xd46ba6d942050d489dbd938a2c909a5d5039a161,0x31d5724a903d475deea3c3e39f9e75271ffd401defedc82fe1af82ef9d8b42c9,0x2ec2a066dc6066e36027848f19279acbe040b9f3,0x3222a6c3fd5927437c9e5f4c9eb5c98b22bcde48,,TN
0x3b3ee1931dc30c1957379fac9aba94d1c48a5405,0x57bfc117c4f94fda9f74f604a5992a201630b69889c2d4519a8efc2683a72524,0xe7c29cba93ef8017c7824dd0f25923c38d08065c,0xc9fe4ffc4be41d93a1a7189975cd360504ee361a,,TN
0xd46ba6d942050d489dbd938a2c909a5d5039a161,0xf4544640594839b13caba5f1d14f398b2baedd9277b80bf8e737598d56bb756b,0xa50947922908fb0275f4cd6e53d97170869f6688,0x3222a6c3fd5927437c9e5f4c9eb5c98b22bcde48,,TN
