Proxy,Input,TP/FP? ,Still Exploitable?,reason
0x0557e0d15aec0b9026dd17aa874fdf7d182a2ceb,0x010a04ba00000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000008000000000000000000000000000000000000000000000000000000000000000e00000000000000000000000000000000000000000000000000000000000000023427269646765204d757475616c20416e63686f722050726f746f636f6c20436f7665720000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e416e63686f7250726f746f636f6c000000000000000000000000000000000000,FP,N,
0xe116d562ab8971e6a3891fed606fb58adc602dc8,0x3659cfe60000000000000000000000009ff6d68e0669b9c73a6dcaf237f5f762c858c9bf,TP,Y,no access control on upgradeTo()
0x1076b35ad477db4b0234031c22732d75f0131484,0x3659cfe60000000000000000000000009ff6d68e0669b9c73a6dcaf237f5f762c858c9bf,TP,Y,no access control on upgradeTo()
0x238fdeada54abb9afb08d0c0a87420927f7d8307,0x3659cfe60000000000000000000000009ff6d68e0669b9c73a6dcaf237f5f762c858c9bf,TP,Y,no access control on upgradeTo()
0xd8a38b46d8cf9813c7c9233b844dd0ec7d7e8750,0x3659cfe60000000000000000000000009ff6d68e0669b9c73a6dcaf237f5f762c858c9bf,TP,Y,no access control on upgradeTo()
0xafdcf60f5e3c857331a64e4dd810cd92fe3cf825,0x3659cfe60000000000000000000000009ff6d68e0669b9c73a6dcaf237f5f762c858c9bf,TP,Y,no access control on upgradeTo()
0xa3cabfdd5909b4120403d53dc547e627fbb069cc,0x3659cfe60000000000000000000000009ff6d68e0669b9c73a6dcaf237f5f762c858c9bf,TP,Y,no access control on upgradeTo()
0x3c6cf110314480c5740fe494449dc049afbf1700,0x3659cfe60000000000000000000000009ff6d68e0669b9c73a6dcaf237f5f762c858c9bf,TP,Y,no access control on upgradeTo()
0xa34c614c699204a7af2e159015bd7656cdc1d16d,0x3659cfe60000000000000000000000009ff6d68e0669b9c73a6dcaf237f5f762c858c9bf,TP,Y,no access control on upgradeTo()
0x27d8748c83f3f5fd8de495dac72064eec5b6daf7,0x3659cfe60000000000000000000000009ff6d68e0669b9c73a6dcaf237f5f762c858c9bf,TP,Y,no access control on upgradeTo()
0x5c01da455f0455723095eb46611db91df72461b0,0x3659cfe60000000000000000000000009ff6d68e0669b9c73a6dcaf237f5f762c858c9bf,TP,Y,no access control on upgradeTo()
