implementation,initialize fn (- means the contract initialize i),included,Y,N,Coverage
0x8ca25bbe5580a0e505430ce69710c3309603c056,- ,Y,62,38,0.62
0xa0f62f76be324bd06cccfb650ff400e42dd9fd13,0x38e454b1,N,,,
0x622da710f6f6c61096c9f4f0a32c3356ba18d7b5,0x134f4913,N,,,
0x8af6e56cc0fdcffe5e7242b18e2ca696a7c7b0a1,0x1794bb3c,N,,,
0x3596552272def342afda867cd8ea09ce78dd1449,0xc4d66de8,Y,,,
0x93249388a3d98fd2412429a78bdd43691cc1508b,0x90657147,N,,,
0x19890cf5c9a0b8d2f71eb71347d126b6f7d78b76,0x8129fc1c,Y,,,
0x393f4c8dbf38cfd6005611e95bd0c490f8963b59,- ,Y,,,
0xe34a736290548227415329962705a6ee17c5f1a5,0xc4d66de8,Y,,,
0x07f9090745b3ba0cae0270f1bf100bdd88562eec,0x8129fc1c,Y,,,
0x86d643b7f4a2a6772a4b1bfbee5ece46a1de3dfd,0xc0c53b8b,Y,,,
0x16f38cc8b1f9a8cd1b57d6ea1d7eb15da1cc6d6b,0x1372a625,N,,,
0xbf1f8be5405b184b0cc5ec0fb74839442c6fa1a1,0x1c9f7fb9,N,,,
0x415396f321d217bf96dacd3235323024e4e805c0,-,Y,,,
0x7596eecfeebb9a35ed07685a779c651720050202,0x8129fc1c,Y,,,
0x7b172a8e21f9e65be2fca425a7149246c03a753e,0xc4d66de8,Y,,,
0xc6368d9998ea333b37eb869f4e1749b9296e6d09,0x87c0785a,N,,,
0x38a16a0f0329a4f59221649e15efaa148e11c3a1,0x8129fc1c,Y,,,
0x51f86ffa7122cf8503d46232438f43a5842b6fdd,0x485cc955,Y,,,
0xa26eab3fcf93f320bb80183f473b1c2b48db16e3,0xc4d66de8,Y,,,
0xa9ba10a9c2f0e1aea86f9846842b5be08b02f78f,0xecef9060,N,,,
0x5626a34a879a6d49855f034a678f8811266e95e6,0x35876476,N,,,
0xe70506128f436f4f49910298efc87d8504e18f43,0x485cc955,Y,,,
0x6fa346c1e77c17d7976bf1efe2b121e845f15feb,0x439fab91,Y,,,
0x9a774ff87e64a97c7b42394260ca6d97dcf4d518,0xbd3a13f6,Y,,,
0x6c47b06f315c35ca7632d13ac324f01dabfb67c5,0xc4d66de8,Y,,,
0xe9bf34c829b30647afce41a4b49d947ccc66b472,0x8129fc1c,Y,,,
0x43e45710ad6fe1c90d5f726447cf5f28c6a7a3a9,-,Y,,,
0x4a20f53e612e6ab515a46eca9dd36a290a2287f7,0xe7aa8a92,Y,,,
0x3f9bc2a7d56d4b4b7c8aadc69796aea61fee0045,0x4f8cfde3,N,,,
